Timestep;REC_price_h;REC_price_d;REC_price_m;REC_price_y;Biomass_h;Solar_h;WindOffshore_h;WindOnshore_h;electrolysis_h;Biomass_d;Solar_d;WindOffshore_d;WindOnshore_d;electrolysis_d;Biomass_m;Solar_m;WindOffshore_m;WindOnshore_m;electrolysis_m;Biomass_y;Solar_y;WindOffshore_y;WindOnshore_y;electrolysis_y
1.0;0.0;0.0;0.177550303862732;-2.4798515108190525e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-4.153485787447827e-8;105.81247966180247;107.18344786291902;41.729119806395985;107.18344786291902;-6.957655881586735e-7
2.0;0.0;0.0;0.177550303862732;-2.4798515108190525e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-4.153485787447827e-8;105.81247966180247;107.18344786291902;41.729119806395985;107.18344786291902;-6.957655881586735e-7
3.0;0.0;0.0;0.177550303862732;-2.4798515108190525e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-4.153485787447827e-8;105.81247966180247;107.18344786291902;41.729119806395985;107.18344786291902;-6.957655881586735e-7
4.0;0.0;0.0;0.177550303862732;-2.4798515108190525e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-4.153485787447827e-8;105.81247966180247;107.18344786291902;41.729119806395985;107.18344786291902;-6.957655881586735e-7
5.0;0.0;0.0;0.177550303862732;-2.4798515108190525e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-4.153485787447827e-8;105.81247966180247;107.18344786291902;41.729119806395985;107.18344786291902;-6.957655881586735e-7
6.0;0.0;0.0;0.177550303862732;-2.4798515108190525e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-4.153485787447827e-8;105.81247966180247;107.18344786291902;41.729119806395985;107.18344786291902;-6.957655881586735e-7
7.0;0.0;0.0;0.177550303862732;-2.4798515108190525e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-4.153485787447827e-8;105.81247966180247;107.18344786291902;41.729119806395985;107.18344786291902;-6.957655881586735e-7
8.0;0.0;0.0;0.177550303862732;-2.4798515108190525e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-4.153485787447827e-8;105.81247966180247;107.18344786291902;41.729119806395985;107.18344786291902;-6.957655881586735e-7
9.0;0.0;0.0;0.177550303862732;-2.4798515108190525e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-4.153485787447827e-8;105.81247966180247;107.18344786291902;41.729119806395985;107.18344786291902;-6.957655881586735e-7
10.0;0.0;0.0;0.177550303862732;-2.4798515108190525e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-4.153485787447827e-8;105.81247966180247;107.18344786291902;41.729119806395985;107.18344786291902;-6.957655881586735e-7
