Timestep;REC_price_h;REC_price_d;REC_price_m;REC_price_y;Biomass_h;Solar_h;WindOffshore_h;WindOnshore_h;electrolysis_h;Biomass_d;Solar_d;WindOffshore_d;WindOnshore_d;electrolysis_d;Biomass_m;Solar_m;WindOffshore_m;WindOnshore_m;electrolysis_m;Biomass_y;Solar_y;WindOffshore_y;WindOnshore_y;electrolysis_y
1.0;0.0;0.0;0.0;-4.9663122230710366e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;103.75656424826632;109.23936855819431;39.673204392859084;109.23936855819431;-1.983203348561098e-5
2.0;0.0;0.0;0.0;-4.9663122230710366e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;103.75656424826632;109.23936855819431;39.673204392859084;109.23936855819431;-1.983203348561098e-5
3.0;0.0;0.0;0.0;-4.9663122230710366e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;103.75656424826632;109.23936855819431;39.673204392859084;109.23936855819431;-1.983203348561098e-5
4.0;0.0;0.0;0.0;-4.9663122230710366e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;103.75656424826632;109.23936855819431;39.673204392859084;109.23936855819431;-1.983203348561098e-5
5.0;0.0;0.0;0.0;-4.9663122230710366e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;103.75656424826632;109.23936855819431;39.673204392859084;109.23936855819431;-1.983203348561098e-5
6.0;0.0;0.0;0.0;-4.9663122230710366e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;103.75656424826632;109.23936855819431;39.673204392859084;109.23936855819431;-1.983203348561098e-5
7.0;0.0;0.0;0.0;-4.9663122230710366e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;103.75656424826632;109.23936855819431;39.673204392859084;109.23936855819431;-1.983203348561098e-5
8.0;0.0;0.0;0.0;-4.9663122230710366e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;103.75656424826632;109.23936855819431;39.673204392859084;109.23936855819431;-1.983203348561098e-5
9.0;0.0;0.0;0.0;-4.9663122230710366e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;103.75656424826632;109.23936855819431;39.673204392859084;109.23936855819431;-1.983203348561098e-5
10.0;0.0;0.0;0.0;-4.9663122230710366e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;103.75656424826632;109.23936855819431;39.673204392859084;109.23936855819431;-1.983203348561098e-5
11.0;0.0;0.0;0.0;-4.9663122230710366e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;103.75656424826632;109.23936855819431;39.673204392859084;109.23936855819431;-1.983203348561098e-5
12.0;0.0;0.0;0.0;-4.9663122230710366e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;103.75656424826632;109.23936855819431;39.673204392859084;109.23936855819431;-1.983203348561098e-5
