Timestep;REC_price_h;REC_price_d;REC_price_m;REC_price_y;Biomass_h;Solar_h;WindOffshore_h;WindOnshore_h;electrolysis_h;Biomass_d;Solar_d;WindOffshore_d;WindOnshore_d;electrolysis_d;Biomass_m;Solar_m;WindOffshore_m;WindOnshore_m;electrolysis_m;Biomass_y;Solar_y;WindOffshore_y;WindOnshore_y;electrolysis_y
1.0;0.0;0.0;0.17764628921708311;-2.1245216794466188e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.3731197549528133e-7;105.81248266322893;107.18345087319119;41.72912280782243;107.18345087319119;-2.3026550694865285e-6
2.0;0.0;0.0;0.17764628921708311;-2.1245216794466188e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.3731197549528133e-7;105.81248266322893;107.18345087319119;41.72912280782243;107.18345087319119;-2.3026550694865285e-6
3.0;0.0;0.0;0.17764628921708311;-2.1245216794466188e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.3731197549528133e-7;105.81248266322893;107.18345087319119;41.72912280782243;107.18345087319119;-2.3026550694865285e-6
4.0;0.0;0.0;0.17764628921708311;-2.1245216794466188e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.3731197549528133e-7;105.81248266322893;107.18345087319119;41.72912280782243;107.18345087319119;-2.3026550694865285e-6
5.0;0.0;0.0;0.17764628921708311;-2.1245216794466188e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.3731197549528133e-7;105.81248266322893;107.18345087319119;41.72912280782243;107.18345087319119;-2.3026550694865285e-6
6.0;0.0;0.0;0.17764628921708311;-2.1245216794466188e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.3731197549528133e-7;105.81248266322893;107.18345087319119;41.72912280782243;107.18345087319119;-2.3026550694865285e-6
7.0;0.0;0.0;0.17764628921708311;-2.1245216794466188e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.3731197549528133e-7;105.81248266322893;107.18345087319119;41.72912280782243;107.18345087319119;-2.3026550694865285e-6
8.0;0.0;0.0;0.17764628921708311;-2.1245216794466188e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.3731197549528133e-7;105.81248266322893;107.18345087319119;41.72912280782243;107.18345087319119;-2.3026550694865285e-6
9.0;0.0;0.0;0.17764628921708311;-2.1245216794466188e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.3731197549528133e-7;105.81248266322893;107.18345087319119;41.72912280782243;107.18345087319119;-2.3026550694865285e-6
10.0;0.0;0.0;0.17764628921708311;-2.1245216794466188e-7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.3731197549528133e-7;105.81248266322893;107.18345087319119;41.72912280782243;107.18345087319119;-2.3026550694865285e-6
